Taxon,Region,LifeForm,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source
Symphoricarpos albus,Norway,Vascular plants,established,1889,1889 - 1889,,GISD
Symphoricarpos albus,Poland,Vascular plants,established,1824,1824 - 1824,,DAISIE
Symphoricarpos albus,Portugal,Vascular plants,casual,1956,1956 - 1956,,DAISIE
Symphoricarpos albus,Russia,Vascular plants,established,2002,2002 - 2002,,DAISIE
Symphoricarpos albus,Slovakia,Vascular plants,casual,1956,1956,,DAISIE
Symphoricarpos albus,United Kingdom,Vascular plants,established,1863,1863,,Roy H et al. (2012) 
Symphoricarpos doorenbosii,United Kingdom,Vascular plants,established,1992,1992,,"Roy, H. E. et al. (2014)"
Symphoricarpos microphyllus,United Kingdom,Vascular plants,established,1974,1974,,Roy H et al. (2012) 
Symphoricarpos occidentalis,Canada,Vascular plants,,1882,1882,Herbarium record,Lavoie et al. (2012)
Symphoricarpos orbiculatus,Australia,Vascular plants,,1999,1999,Herbarium record,Australia Virtual Herbarium
Symphoricarpos orbiculatus,Austria,Vascular plants,,1971,1971,,Essl F et al. (2014)
Symphoricarpos orbiculatus,Belgium,Vascular plants,casual,2012,2012,,DAISIE
Symphoricarpos orbiculatus,Norway,Vascular plants,established,1900,1900 - 1900,,GISD
Symphoricarpos orbiculatus,Slovakia,Vascular plants,casual,1890,1890(2005),,"Medveck�, J. et al. (2012)"
Symphoricarpos orbiculatus,United Kingdom,Vascular plants,established,1974,1974,,Roy H et al. (2012) 
Symphoricarpos x chenaultii,Belgium,Vascular plants,established,1955,1955,,DAISIE
Symphoricarpos x doorenbosii,Belgium,Vascular plants,established,1955,1955,,"Verloove F, (2006)"
Symphyotrichum ciliatum,Belgium,Vascular plants,casual,2005,2005,,"Verloove F, (2006)"
Symphyotrichum ciliatum,Canada,Vascular plants,,1921,1921,Herbarium record,Lavoie et al. (2012)
Symphyotrichum ciliatum,Poland,Vascular plants,established,2000,2000,,"Tokarska-Guzik, B. (2005)"
Symphyotrichum ciliatum,Slovakia,Vascular plants,casual,1987,1987,,"Medveck�, J. et al. (2012)"
Symphyotrichum cordifolium,Czech Republic,Vascular plants,casual,1876,1876,,Py�ek et al. (2012)
Symphyotrichum cordifolium,Norway,Vascular plants,established,1910,1910 - 1910,,GISD
Symphyotrichum ericoides,Canada,Vascular plants,,1891,1891,Herbarium record,Lavoie et al. (2012)
Symphyotrichum laeve,Canada,Vascular plants,,1892,1892,Herbarium record,Lavoie et al. (2012)
Symphyotrichum laeve,Czech Republic,Vascular plants,established,1851,1851,,Py�ek et al. (2012)
Symphyotrichum laeve,Norway,Vascular plants,casual,1932,1932 - 1932,,GISD
Symphyotrichum lanceolatum,Austria,Vascular plants,,1863,1863,,Essl F et al. (2014)
Symphyotrichum lanceolatum,Belgium,Vascular plants,invasive,1835,<1835 ,,"Verloove F, (2006)"
Symphyotrichum lanceolatum,Estonia,Vascular plants,casual,1941,1941 - 1941,,DAISIE
Symphyotrichum lanceolatum,Netherlands,Vascular plants,established,1861,1861 - 1861,,DAISIE
Symphyotrichum lanceolatum,Norway,Vascular plants,established,1927,1927 - 1927,,GISD
Symphyotrichum lanceolatum,Portugal,Vascular plants,established,1976,NULL - 1976,,DAISIE
Symphyotrichum lanceolatum,United Kingdom,Vascular plants,established,1846,1846,,Roy H et al. (2012) 
Symphyotrichum novae-angliae,Belgium,Vascular plants,casual,1953,1953,,"Verloove F, (2006)"
Symphyotrichum novae-angliae,Lithuania,Vascular plants,alien,1991,1991 - 1991,,GISD
Symphyotrichum novae-angliae,Norway,Vascular plants,established,1971,1971 - 1971,,GISD
Symphyotrichum novae-angliae,Slovakia,Vascular plants,casual,1985,1985,,"Medveck�, J. et al. (2012)"
Symphyotrichum novae-angliae,United Kingdom,Vascular plants,established,1823,1823,,Roy H et al. (2012) 
Symphyotrichum novi-belgii,Australia,Vascular plants,,1964,1964,Herbarium record,Australia Virtual Herbarium
Symphyotrichum novi-belgii,Belgium,Vascular plants,alien,1865,1865,,GISD
Symphyotrichum novi-belgii,Czech Republic,Vascular plants,invasive,1850,1850,,Py�ek et al. (2012)
Symphyotrichum novi-belgii,France,Vascular plants,established,1915,1915,,DAISIE
Symphyotrichum novi-belgii,Ireland,Vascular plants,,1894,1894,,"Reynolds, S. C. P. (2002)"
Symphyotrichum novi-belgii,Lithuania,Vascular plants,alien,1953,1953 - 1953,,GISD
Symphyotrichum novi-belgii,Norway,Vascular plants,established,1936,1936 - 1936,,GISD
Symphyotrichum novi-belgii,Sweden,Vascular plants,established,1700,1700,,DAISIE
Symphyotrichum novi-belgii,United Kingdom,Vascular plants,established,1860,1860,,Roy H et al. (2012) 
Symphyotrichum patulum,Norway,Vascular plants,casual,1989,1989 - 1989,,GISD
Symphyotrichum pilosum,Belgium,Vascular plants,casual,1947,1947,,"Verloove F, (2006)"
Symphyotrichum racemosum,Belgium,Vascular plants,casual,1947,1947,,DAISIE
Symphyotrichum salignum,Norway,Vascular plants,established,1873,1873 - 1873,,GISD
Symphyotrichum shortii,Norway,Vascular plants,casual,1996,1996 - 1996,,GISD
Symphyotrichum squamatum,Norway,Vascular plants,casual,2005,2005 - 2005,,GISD
Symphyotrichum x salignum,Belgium,Vascular plants,established,1861,1861,,"Verloove F, (2006)"
Symphyotrichum x salignum,Czech Republic,Vascular plants,invasive,1872,1872,,Py�ek et al. (2012)
Symphyotrichum x salignum,Estonia,Vascular plants,alien,1941,1941 - 1941,,GISD
Symphyotrichum x salignum,France,Vascular plants,established,1815,1815,,DAISIE
Symphyotrichum x salignum,Ireland,Vascular plants,,1900,1900,,"Reynolds, S. C. P. (2002)"
Symphyotrichum x salignum,Latvia,Vascular plants,established,1895,1895 - 1895,,DAISIE
Symphyotrichum x salignum,Lithuania,Vascular plants,established,1890,1890 - 1890,,DAISIE
Symphyotrichum x salignum,Russia,Vascular plants,established,1915,1915 - 1915,,DAISIE
Symphyotrichum x salignum,Sweden,Vascular plants,established,1694,1694,,DAISIE
Symphyotrichum x versicolor,Ireland,Vascular plants,,1984,1984,,"Reynolds, S. C. P. (2002)"
Symphyotrichum x versicolor,Lithuania,Vascular plants,alien,1992,1992 - 1992,,GISD
Symphyotrichum x versicolor,Norway,Vascular plants,established,1914,1914 - 1914,,GISD
Symphyotrichum x versicolor,Russia,Vascular plants,established,1907,1907 - 1907,,DAISIE
Symphytum abchasicum,Belgium,Vascular plants,established,1999,1999,,DAISIE
Symphytum asperum,Austria,Vascular plants,,1973,1973,,Essl F et al. (2014)
Symphytum asperum,Belgium,Vascular plants,established,1884,1884,,"Verloove F, (2006)"
Symphytum asperum,Canada,Vascular plants,,1871,1871,Herbarium record,Lavoie et al. (2012)
Symphytum asperum,Czech Republic,Vascular plants,casual,1941,1941,,Py�ek et al. (2012)
Symphytum asperum,Denmark,Vascular plants,established,1880,1880 - 1880,,DAISIE
Symphytum asperum,Estonia,Vascular plants,established,1944,1944 - 1944,,DAISIE
Symphytum asperum,Iceland,Vascular plants,casual,1945,1945,,Wasowicz P et al. (2013)
Symphytum asperum,Ireland,Vascular plants,,1977,1977,,"Reynolds, S. C. P. (2002)"
Symphytum asperum,Kyrgyzstan,Vascular plants,,1989,1989,,Lazkov G A & Sultanova AB (2011)
Symphytum asperum,Latvia,Vascular plants,established,1959,1959 - 1959,,DAISIE
Symphytum asperum,Norway,Vascular plants,established,1865,1865 - 1865,,GISD
Symphytum asperum,Poland,Vascular plants,casual,1927,1927,,DAISIE
Symphytum asperum,Sweden,Vascular plants,established,1824,1824,,DAISIE
Symphytum asperum,United Kingdom,Vascular plants,established,1861,1861,,Roy H et al. (2012) 
Symphytum asperum x officinale x tuberosum,United Kingdom,Vascular plants,established,1994,1994,,Stace and Crawley (2015)
Symphytum bulbosum,United Kingdom,Vascular plants,established,1893,1893,,Roy H et al. (2012) 
Symphytum caucasicum,Belgium,Vascular plants,established,2009,2009,,DAISIE
Symphytum caucasicum,United Kingdom,Vascular plants,established,1879,1879,,Roy H et al. (2012) 
Symphytum grandiflorum,Belgium,Vascular plants,established,1999,1999,,"Verloove F, (2006)"
Symphytum grandiflorum,Ireland,Vascular plants,,1937,1937,,"Reynolds, S. C. P. (2002)"
Symphytum grandiflorum,United Kingdom,Vascular plants,established,1898,1898,,Roy H et al. (2012) 
Symphytum Hidcote-Blue,United Kingdom,Vascular plants,established,1979,1979,,Roy H et al. (2012) 
Symphytum officinale,Australia,Vascular plants,,1992,1992,Herbarium record,Australia Virtual Herbarium
Symphytum officinale,Denmark,Vascular plants,established,1656,1656 - 1656,,DAISIE
Symphytum officinale,Finland,Vascular plants,established,1951,1951 - 1951,,DAISIE
Symphytum officinale,Iceland,Vascular plants,casual,1967,1967,,Wasowicz P et al. (2013)
Symphytum officinale,Norway,Vascular plants,established,1790,1790 - 1800,NEW_random,GISD
Symphytum officinale,Sweden,Vascular plants,established,1807,1807,,DAISIE
Symphytum officinale,Taiwan,Vascular plants,,1984,1984,,Wu et al. (2010)
Symphytum orientale,Ireland,Vascular plants,,1962,1962,,"Reynolds, S. C. P. (2002)"
Symphytum orientale,United Kingdom,Vascular plants,established,1849,1849,,Roy H et al. (2012) 
Symphytum tauricum,Norway,Vascular plants,casual,1979,1979 - 1979,,GISD
Symphytum tauricum,United Kingdom,Vascular plants,established,1854,1854,,Roy H et al. (2012) 
Symphytum tuberosum,Ireland,Vascular plants,,1866,1866,,"Reynolds, S. C. P. (2002)"
Symphytum tuberosum,United Kingdom,Vascular plants,established,1777,1777,,Stace and Crawley (2015)
Symphytum x hidcotense,Belgium,Vascular plants,established,2008,2008,,DAISIE
Symphytum x norvicense,United Kingdom,Vascular plants,established,1957,1957,,"Roy, H. E. et al. (2014)"
Symphytum x uplandicum,Australia,Vascular plants,,1914,1914,Herbarium record,Australia Virtual Herbarium
Symphytum x uplandicum,Austria,Vascular plants,,1960,1960,,Essl F et al. (2014)
Symphytum x uplandicum,Azores,Vascular plants,established,1897,1897,,"Sch�fer, H. (2003)"
Symphytum x uplandicum,Czech Republic,Vascular plants,established,1908,1908,,Py�ek et al. (2012)
Symphytum x uplandicum,Denmark,Vascular plants,established,1859,1859 - 1859,,DAISIE
Symphytum x uplandicum,Ireland,Vascular plants,,1898,1898,,"Reynolds, S. C. P. (2002)"
Symphytum x uplandicum,Lithuania,Vascular plants,established,1994,1994 - 1994,,DAISIE
Symphytum x uplandicum,Norway,Vascular plants,established,1873,1873 - 1873,,GISD
Symphytum x uplandicum,Sweden,Vascular plants,established,1741,1741 - 1741,,DAISIE
Synedrella nodiflora,Australia,Vascular plants,,1914,1914,Herbarium record,Australia Virtual Herbarium
Synedrella nodiflora,China,Vascular plants,,1912,1912,,Xu et al. (2012)
Synedrella nodiflora,Taiwan,Vascular plants,,1914,1914,,Wu et al. (2010)
Synedrella nodifolia,Hawaiian Islands,Vascular plants,,1926,1926,Herbarium record,"Wester, L. (1992)"
Synedrellopsis grisebachii,Australia,Vascular plants,,1989,1989,Herbarium record,Australia Virtual Herbarium
Syngonium podophyllum,Australia,Vascular plants,,1994,1994,Herbarium record,Australia Virtual Herbarium
Syngonium podophyllum,Taiwan,Vascular plants,,1992,1992,,Wu et al. (2010)
Syrenia cana,Austria,Vascular plants,,1973,1973,,Essl F et al. (2014)
Syringa emodi,Norway,Vascular plants,casual,1946,1946 - 1946,,GISD
Syringa josikaea,Belgium,Vascular plants,established,2008,2008,,DAISIE
Syringa josikaea,Norway,Vascular plants,established,1965,1965 - 1965,,GISD
Syringa komarowii,Norway,Vascular plants,casual,2009,2009 - 2009,,GISD
Syringa oblata,Norway,Vascular plants,casual,1946,1946 - 1946,,GISD
Syringa persica,Austria,Vascular plants,,1960,1960,,Essl F et al. (2014)
Syringa persica,Norway,Vascular plants,casual,1931,1931 - 1931,,GISD
Syringa vulgaris,Austria,Vascular plants,,1868,1868,,Essl F et al. (2014)
Syringa vulgaris,Belgium,Vascular plants,established,1854,1854,,"Verloove F, (2006)"
Syringa vulgaris,Canada,Vascular plants,,1876,1876,Herbarium record,Lavoie et al. (2012)
Syringa vulgaris,Czech Republic,Vascular plants,established,1809,1809,,Py�ek et al. (2012)
Syringa vulgaris,Ireland,Vascular plants,,1976,1976,,O�Flynn et al. (2014)
Syringa vulgaris,Lithuania,Vascular plants,established,1890,1890 - 1890,,DAISIE
Syringa vulgaris,Norway,Vascular plants,established,1886,1886 - 1886,,GISD
Syringa vulgaris,Slovakia,Vascular plants,established,1650,1650(1830),,"Medveck�, J. et al. (2012)"
Syringa vulgaris,United Kingdom,Vascular plants,established,1879,1879 (pre),,Roy H et al. (2012) 
Syringa x chinensis,Austria,Vascular plants,,1960,1960,,Essl F et al. (2014)
Syzygium cumini,Australia,Vascular plants,,1992,1992,Herbarium record,Australia Virtual Herbarium
Syzygium cumini,Bermuda,Vascular plants,,1904,1904,,CABI ISC
Syzygium cumini,Brazil,Vascular plants,alien,1998,1998 - 1998,,GISD
Syzygium cumini,Cuba,Vascular plants,,1908,1908,,CABI ISC
Syzygium cumini,French Polynesia,Vascular plants,alien,1880,1880 - 1880,,GISD
Syzygium cumini,Guadeloupe,Vascular plants,,1905,1905,,CABI ISC
Syzygium cumini,Haiti,Vascular plants,,1903,1903,,CABI ISC
Syzygium cumini,Hawaiian Islands,Vascular plants,,1870,1870,,CABI ISC
Syzygium cumini,Israel,Vascular plants,,1940,1940,,CABI ISC
Syzygium cumini,Jamaica,Vascular plants,,1908,1908,,CABI ISC
Syzygium cumini,Martinique,Vascular plants,,1905,1905,,CABI ISC
Syzygium cumini,New Caledonia,Vascular plants,,1900,1900,,"Hequet, V. et al. (2009)"
Syzygium cumini,Puerto Rico,Vascular plants,,1920,1920,,CABI ISC
Syzygium cumini,South Africa,Vascular plants,,1917,1917,Herbarium record,Henderson (2006)
Syzygium cumini,Zimbabwe,Vascular plants,casual,1962,1962,Herbarium record,Maroyi A (2012)
Syzygium floribundum,French Polynesia,Vascular plants,alien,1939,1939 - 1939,,GISD
Syzygium jambas,Taiwan,Vascular plants,,1915,1915,,Wu et al. (2010)
Syzygium jambos,Australia,Vascular plants,,1890,1890,,CABI ISC
Syzygium jambos,China,Vascular plants,,1600,<1600,,Xu et al. (2012)
Syzygium jambos,Colombia,Vascular plants,alien,1885,1885 - 1885,,GISD
Syzygium jambos,French Polynesia,Vascular plants,alien,1890,1890,,GISD
Syzygium jambos,Ghana,Vascular plants,,1893,1893,,CABI ISC
Syzygium jambos,Hawaiian Islands,Vascular plants,,1825,1825,,CABI ISC
Syzygium jambos,Jamaica,Vascular plants,,1762,1762,,CABI ISC
Syzygium jambos,Madeira,Vascular plants,established,1845,1845 - 1845,,DAISIE
Syzygium jambos,Mayotte,Vascular plants,established,1870,1870 - 1870,,GISD
Syzygium jambos,Reunion,Vascular plants,established,1780,1780 - 1780,,GISD
Syzygium jambos,South Africa,Vascular plants,,1858,1858,Herbarium record,Henderson (2006)
Syzygium jambos,United States,Vascular plants,,1877,1877,,CABI ISC
Syzygium jambos,Zimbabwe,Vascular plants,established,1962,1962,Herbarium record,Maroyi A (2012)
Syzygiumj ambos,New Caledonia,Vascular plants,,1883,1883,,"Hequet, V. et al. (2009)"
Syzygium malaccense,Hawaiian Islands,Vascular plants,,1000,1000,Herbarium record,"Wester, L. (1992)"
Syzygium paniculatum,South Africa,Vascular plants,,1858,1858,Herbarium record,Henderson (2006)
Syzygium samarangense,Reunion,Vascular plants,,1760,1760,,Tassin et al. (2006)
Syzygium smithii,Australia,Vascular plants,,2007,2007,Herbarium record,Australia Virtual Herbarium
Tabernaemontana pandacaqui,Taiwan,Vascular plants,,1896,1896,,Wu et al. (2010)
Tacca leontopetaloides,Hawaiian Islands,Vascular plants,,1000,1000,Herbarium record,"Wester, L. (1992)"
Tacca leontopetaloides,Taiwan,Vascular plants,,1904,1904,,Wu et al. (2010)
Taeniatherum caput-medusae,Australia,Vascular plants,,1859,1859,,CABI ISC
Taeniatherum caput-medusae,Belgium,Vascular plants,casual,1911,1911,,DAISIE
Taeniatherum caput-medusae,Chile,Vascular plants,,1986,1986,,Nicol Fuentes
Taeniatherum caput-medusae,Estonia,Vascular plants,casual,1963,1963 - 1963,,DAISIE
Taeniatherum crinitum,Estonia,Vascular plants,casual,1963,1963 - 1963,,DAISIE
Tagetes erecta,Albania,Vascular plants,casual,2011,2011,,Barina Z et al. (2014)
Tagetes erecta,Austria,Vascular plants,,1891,1891,,Essl F et al. (2014)
Tagetes erecta,Belgium,Vascular plants,casual,1953,1953,,"Verloove F, (2006)"
Tagetes erecta,Canada,Vascular plants,,1957,1957,Herbarium record,Lavoie et al. (2012)
Tagetes erecta,Estonia,Vascular plants,casual,1999,1999 - 1999,,DAISIE
Tagetes erecta,India,Vascular plants,,1794,1794,,Jaryan et al. (2013)
Tagetes erecta,Ireland,Vascular plants,,2001,2001,,"Reynolds, S. C. P. (2002)"
Tagetes erecta,Kermadec Islands,Vascular plants,casual,1966,1966,,"Sykes, W. R. et al. (2000)"
Tagetes erecta,Lithuania,Vascular plants,casual,1988,1988 - 1988,,DAISIE
Tagetes erecta,Norway,Vascular plants,casual,1947,1947 - 1947,,GISD
Tagetes erecta,Portugal,Vascular plants,alien,2000,2000 - 2000,,DAISIE
Tagetes erecta,Socotra Island,Vascular plants,,2006,2006,,Senan et al. (2012)
Tagetes erecta,United Kingdom,Vascular plants,casual,1933,1933,,Roy H et al. (2012) 
Tagetes erecta,Zimbabwe,Vascular plants,established,1969,1969,Herbarium record,Maroyi A (2012)
Tagetes minuta,Albania,Vascular plants,established,2010,2010,,Barina Z et al. (2014)
Tagetes minuta,Australia,Vascular plants,,1875,1875,Herbarium record,Australia Virtual Herbarium
Tagetes minuta,Belgium,Vascular plants,casual,1880,1880,,"Verloove F, (2006)"
Tagetes minuta,Corse,Vascular plants,established,1985,1985,,DAISIE
Tagetes minuta,Cyprus,Vascular plants,established,1970,1970,,DAISIE
Tagetes minuta,Hawaiian Islands,Vascular plants,,1932,1932,Herbarium record,"Wester, L. (1992)"
Tagetes minuta,Norway,Vascular plants,casual,1999,1999 - 1999,,GISD
Tagetes minuta,Socotra Island,Vascular plants,,2005,2005,,Senan et al. (2012)
Tagetes minuta,Taiwan,Vascular plants,,2006,2006,,Wu et al. (2010)
Tagetes minuta,United Kingdom,Vascular plants,casual,1922,1922,,Roy H et al. (2012) 
Tagetes minuta,Zimbabwe,Vascular plants,invasive,1917,1917,Herbarium record,Maroyi A (2012)
Tagetes patula,Australia,Vascular plants,,1997,1997,Herbarium record,Australia Virtual Herbarium
Tagetes patula,Azores,Vascular plants,casual,2001,2001,,"Sch�fer, H. (2003)"
Tagetes patula,Belgium,Vascular plants,casual,2005,2005,,"Verloove F, (2006)"
Tagetes patula,China,Vascular plants,,1931,1931,,Xu et al. (2012)
Tagetes patula,Estonia,Vascular plants,alien,1999,1999 - 1999,,GISD
Tagetes patula,Lithuania,Vascular plants,alien,1988,1988 - 1988,,GISD
Tagetes patula,Portugal,Vascular plants,alien,2000,2000 - 2000,,DAISIE
Tagetes patula,Slovakia,Vascular plants,casual,1920,1920,,"Medveck�, J. et al. (2012)"
Tagetes patula,United Kingdom,Vascular plants,casual,1933,1933,,Stace and Crawley (2015)
Tagetes tenuifolia,Austria,Vascular plants,,1996,1996,,Essl F et al. (2014)
Tagetes tenuifolia,Belgium,Vascular plants,casual,1992,1992,,"Verloove F, (2006)"
Tagetes tenuifolia,Czech Republic,Vascular plants,casual,2009,2009,,Py�ek et al. (2012)
Talinum fruticosum,Australia,Vascular plants,,2004,2004,Herbarium record,Australia Virtual Herbarium
Talinum paniculatum,Australia,Vascular plants,,1897,1897,Herbarium record,Australia Virtual Herbarium
Talinum paniculatum,Azores,Vascular plants,established,1973,1973,,"Sch�fer, H. (2003)"
Talinum paniculatum,Hawaiian Islands,Vascular plants,,1931,1931,Herbarium record,"Wester, L. (1992)"
Talinum paniculatum,Taiwan,Vascular plants,,1898,1898,,Wu et al. (2010)
Talinum triangulare,Hawaiian Islands,Vascular plants,,1979,1979,Herbarium record,"Wester, L. (1992)"
Tamarindus indica,Australia,Vascular plants,,1935,1935,Herbarium record,Australia Virtual Herbarium
Tamarindus indica,Hawaiian Islands,Vascular plants,,1797,1797,Herbarium record,"Wester, L. (1992)"
Tamarix africana,Azores,Vascular plants,established,1937,1937,,"Sch�fer, H. (2003)"
Tamarix africana,United Kingdom,Vascular plants,casual,1963,1963,,Roy H et al. (2012) 
Tamarix aphylla,Australia,Vascular plants,,1985,1985,Herbarium record,Australia Virtual Herbarium
Tamarix canariensis,Belgium,Vascular plants,casual,1946,1946,,"Verloove F, (2006)"
Tamarix chinensis,South Africa,Vascular plants,,1858,1858,Herbarium record,Henderson (2006)
Tamarix chinensis,Taiwan,Vascular plants,,1995,1995,,Wu et al. (2010)
Tamarix gallica,Belgium,Vascular plants,established,1940,1940,,"Verloove F, (2006)"
Tamarix gallica,Corse,Vascular plants,established,1872,1872,,DAISIE
Tamarix gallica,Ireland,Vascular plants,,1857,1857,,"Reynolds, S. C. P. (2002)"
Tamarix gallica,Madeira,Vascular plants,established,1834,1834 - 1834,,DAISIE
Tamarix gallica,Slovakia,Vascular plants,casual,1847,1847(1991),,"Medveck�, J. et al. (2012)"
Tamarix gallica,United Kingdom,Vascular plants,established,1796,1796,,Roy H et al. (2012) 
Tamarix indica,Australia,Vascular plants,,1970,1970,Herbarium record,Australia Virtual Herbarium
Tamarix parviflora,Austria,Vascular plants,,1971,1971,,Essl F et al. (2014)
Tamarix parviflora,Belgium,Vascular plants,established,1997,1997,,"Verloove F, (2006)"
Tamarix parviflora,Corse,Vascular plants,established,1885,1885,,DAISIE
Tamarix parviflora,Portugal,Vascular plants,established,1993,NULL - 1993,,DAISIE
Tamarix ramosissima,Australia,Vascular plants,,1916,1916,Herbarium record,Australia Virtual Herbarium
Tamarix ramosissima,Austria,Vascular plants,,1971,1971,,Essl F et al. (2014)
Tamarix ramosissima,South Africa,Vascular plants,,1923,1923,Herbarium record,Henderson (2006)
Tamus communis,Ireland,Vascular plants,,1866,1866,,"Reynolds, S. C. P. (2002)"
Tanacetum balsamita,Austria,Vascular plants,,1960,1960,,Essl F et al. (2014)
Tanacetum balsamita,Belgium,Vascular plants,casual,1941,1941,,"Verloove F, (2006)"
Tanacetum balsamita,Canada,Vascular plants,,1939,1939,Herbarium record,Lavoie et al. (2012)
Tanacetum balsamita,Cyprus,Vascular plants,alien,1862,1862,,GISD
Tanacetum balsamita,Denmark,Vascular plants,casual,1656,1656 - 1656,,DAISIE
Tanacetum balsamita,Norway,Vascular plants,established,1886,1886 - 1886,,GISD
Tanacetum balsamita,Slovakia,Vascular plants,casual,1956,1956,,"Medveck�, J. et al. (2012)"
Tanacetum balsamita,United Kingdom,Vascular plants,casual,1801,1801,,Roy H et al. (2012) 
Tanacetum coccineum,Belgium,Vascular plants,casual,1958,1958,,"Verloove F, (2006)"
Tanacetum coccineum,Kyrgyzstan,Vascular plants,,2007,2007,,Lazkov G A & Sultanova AB (2011)
Tanacetum coccineum,Norway,Vascular plants,established,1940,1940 - 1940,,GISD
Tanacetum corymbosum,Belgium,Vascular plants,casual,1809,1809,,"Verloove F, (2006)"
Tanacetum corymbosum,Denmark,Vascular plants,casual,1962,1962 - 1962,,DAISIE
Tanacetum corymbosum,Finland,Vascular plants,alien,1916,1916 - 1916,,DAISIE
Tanacetum corymbosum,Lithuania,Vascular plants,established,1984,1984 - 1984,,DAISIE
Tanacetum corymbosum,Norway,Vascular plants,casual,2003,2003 - 2003,,GISD
Tanacetum corymbosum,Sweden,Vascular plants,established,1745,1745 - 1745,,DAISIE
Tanacetum macrophyllum,Austria,Vascular plants,,1947,1947,,Essl F et al. (2014)
Tanacetum macrophyllum,Belgium,Vascular plants,casual,1882,1882,,"Verloove F, (2006)"
Tanacetum macrophyllum,Denmark,Vascular plants,casual,1908,1908 - 1908,,DAISIE
Tanacetum macrophyllum,Norway,Vascular plants,established,2008,2008 - 2008,,GISD
Tanacetum macrophyllum,Sweden,Vascular plants,established,1658,1658 - 1658,,DAISIE
Tanacetum macrophyllum,United Kingdom,Vascular plants,established,1883,1883,,Roy H et al. (2012) 
Tanacetum parthenium,Australia,Vascular plants,,1890,1890,Herbarium record,Australia Virtual Herbarium
Tanacetum parthenium,Austria,Vascular plants,,1792,1792,,Essl F et al. (2014)
Tanacetum parthenium,Azores,Vascular plants,established,1844,1844,,"Sch�fer, H. (2003)"
Tanacetum parthenium,Belgium,Vascular plants,established,1800,<1800 ,,"Verloove F, (2006)"
Tanacetum parthenium,Canada,Vascular plants,,1882,1882,Herbarium record,Lavoie et al. (2012)
Tanacetum parthenium,Chile,Vascular plants,,1848,1848,,Nicol Fuentes
Tanacetum parthenium,Corse,Vascular plants,established,1909,1909,,DAISIE
Tanacetum parthenium,Cyprus,Vascular plants,established,1849,1849,,DAISIE
Tanacetum parthenium,Denmark,Vascular plants,established,1869,1869 - 1869,,DAISIE
Tanacetum parthenium,Estonia,Vascular plants,casual,1944,1944 - 1944,,DAISIE
Tanacetum parthenium,Ireland,Vascular plants,,1866,1866,,"Reynolds, S. C. P. (2002)"
Tanacetum parthenium,Lithuania,Vascular plants,established,1884,1884 - 1884,,DAISIE
Tanacetum parthenium,Norway,Vascular plants,established,1832,1832 - 1832,,GISD
Tanacetum parthenium,Poland,Vascular plants,established,1824,1824,,"Tokarska-Guzik, B. (2005)"
Tanacetum parthenium,Slovakia,Vascular plants,established,1791,1791,,"Medveck�, J. et al. (2012)"
Tanacetum parthenium,Sweden,Vascular plants,established,1694,1694,,DAISIE
Tanacetum parthenium,United Kingdom,Vascular plants,established,1638,1638,,Roy H et al. (2012) 
Tanacetum vulgare,Australia,Vascular plants,,1899,1899,Herbarium record,Australia Virtual Herbarium
Tanacetum vulgare,Chile,Vascular plants,,1919,1919,,Nicol Fuentes
Tanacetum vulgare,Corse,Vascular plants,established,1927,1927,,DAISIE
Tanacetum vulgare,Denmark,Vascular plants,alien,1856,1856 - 1856,,DAISIE
Tanacetum vulgare,Hawaiian Islands,Vascular plants,,1959,1959,Herbarium record,"Wester, L. (1992)"
Tanacetum vulgare,Iceland,Vascular plants,casual,1931,1931,,Wasowicz P et al. (2013)
Tanacetum vulgare,Ireland,Vascular plants,,1866,1866,,"Reynolds, S. C. P. (2002)"
Tanacetum vulgare,Portugal,Vascular plants,established,1892,NULL - 1892,,DAISIE
Tanacetum vulgare,Reunion,Vascular plants,,1996,1996,,Frenot (2001)
Tanacetum vulgare,United Kingdom,Vascular plants,established,1597,1597,,Stace and Crawley (2015)
Taraxacum bracteatum,Australia,Vascular plants,,1949,1949,Herbarium record,Australia Virtual Herbarium
Taraxacum campylodes,Amsterdam Island,Vascular plants,,1985,1985,,Frenot (2001)
Taraxacum campylodes,Chile,Vascular plants,established,1875,1875,,"Castro, S. A. et al. (2005)"
Taraxacum campylodes,Cyprus,Vascular plants,established,1990,1990,,DAISIE
Taraxacum campylodes,Japan,Vascular plants,alien,1904,1904,,GISD
Taraxacum campylodes,Lord Howe Island,Vascular plants,,1898,1898,,Pickard (1998)
Taraxacum ekmanii,Azores,Vascular plants,established,1984,1984,,"Sch�fer, H. (2003)"
Taraxacum erythrospermum,Amsterdam Island,Vascular plants,,1996,1996,,Frenot (2001)
Taraxacum erythrospermum,Canada,Vascular plants,,1905,1905,Herbarium record,Lavoie et al. (2012)
Taraxacum erythrospermum,Kerguelen Islands,Vascular plants,,1953,1953,,Frenot (2001)
Taraxacum erythrospermum,Reunion,Vascular plants,,1978,1978,,Frenot (2001)
Taraxacum khatoonae,Australia,Vascular plants,,1949,1949,Herbarium record,Australia Virtual Herbarium
Taraxacum laevigatum,Hawaiian Islands,Vascular plants,,1981,1981,Herbarium record,"Wester, L. (1992)"
